,f_Hz,G_mS,B_ms
0,4996601.0,-0.16033850564670774,1.6380153390998584
1,4996603.4275,0.3459454206729951,2.176587430766279
2,4996605.855,0.06749122583358315,1.914456147812817
3,4996608.2825,0.1817965921381915,1.9984505946747206
4,4996610.71,0.1682084912374112,2.0213021406226055
5,4996613.1375,0.13851653491190916,1.9711530440008205
6,4996615.565,0.18257645441883333,2.0268153343613227
7,4996617.9925,0.1479034334853072,1.9965597932211
8,4996620.42,0.16901222053025142,2.016517587432755
9,4996622.8475,0.16252799666808457,2.0175158453034356
10,4996625.275,0.16408977302341599,2.0203187168683416
11,4996627.7025,0.16960351523025893,2.032300508403287
12,4996630.13,0.16931639795311237,2.0322121265482243
13,4996632.5575,0.1702624239145789,2.038239782719488
14,4996634.985,0.172207896179357,2.042014852210089
15,4996637.4125,0.17360361364137764,2.04584583321848
16,4996639.84,0.17427884731650697,2.050534652311855
17,4996642.2675,0.17544129553572238,2.0538536130806535
18,4996644.695,0.1780786093553131,2.0600011072568583
19,4996647.1225,0.1796963788728608,2.065534743349355
20,4996649.55,0.1824095398246418,2.071181497746812
21,4996651.9775,0.18368555243366358,2.076062017067976
22,4996654.405,0.18623561577696798,2.0820171047036258
23,4996656.8325,0.1855858314041368,2.0878814538369457
24,4996659.26,0.18791612329169569,2.0935555781258333
25,4996661.6875,0.18928553568484416,2.0959944099404306
26,4996664.115,0.190194650878534,2.103103437042883
27,4996666.5425,0.19372799099715277,2.10808403032547
28,4996668.97,0.19407411080571707,2.112475644603378
29,4996671.3975,0.19663119026394685,2.119609622920976
30,4996673.825,0.1988700647953267,2.124171814671528
31,4996676.2525,0.19824576052575402,2.1312675009383337
32,4996678.68,0.20160573361541242,2.13545226052524
33,4996681.1075,0.20387590169543357,2.143611921659289
34,4996683.535,0.20618165149677423,2.1480352139152386
35,4996685.9625,0.20642159954255518,2.152817112892765
36,4996688.39,0.20926549625913599,2.159486403571791
37,4996690.8175,0.2141131194053131,2.164956007317597
38,4996693.245,0.21325431765529976,2.1694701505872
39,4996695.6725,0.21653823683335335,2.176147742500043
40,4996698.1,0.21665696532195783,2.1832213012357164
41,4996700.5275,0.21974470717046446,2.1889450904886902
42,4996702.955,0.22314768370496235,2.1952097762565255
43,4996705.3825,0.22533944555757646,2.203108024182211
44,4996707.81,0.22507725319381844,2.2083059666627163
45,4996710.2375,0.22953403893987162,2.2153583811393016
46,4996712.665,0.2294541104364315,2.222944279290021
47,4996715.0925,0.23372200645668093,2.2297608416727273
48,4996717.52,0.23599131921144037,2.234559772684313
49,4996719.9475,0.2373717467220699,2.2416548504610403
50,4996722.375,0.24047324406638512,2.249319719605003
51,4996724.8025,0.24394792480935726,2.2563840502488377
52,4996727.23,0.24651461746973205,2.2648356760728707
53,4996729.6575,0.24912170368903894,2.2703982467777712
54,4996732.085,0.25052506727766977,2.278830074034758
55,4996734.5125,0.25630889764893744,2.2839204413713574
56,4996736.94,0.25724926387558333,2.29184770136225
57,4996739.3675,0.2604210385914443,2.3012527649374315
58,4996741.795,0.2643895841819599,2.3078203845032594
59,4996744.2225,0.2672996850903793,2.315246076249588
60,4996746.65,0.2678946777900489,2.324071721240919
61,4996749.0775,0.27290660448585763,2.3316179550979768
62,4996751.505,0.2777500988068064,2.3381945954418697
63,4996753.9325,0.2790223622192942,2.347116480512867
64,4996756.36,0.2826958036321355,2.3551022192569966
65,4996758.7875,0.2853225897243459,2.3645935972251704
66,4996761.215,0.28925641265049756,2.3738426762631075
67,4996763.6425,0.2936887753338942,2.38072482541328
68,4996766.07,0.2966927454096782,2.3917551056634263
69,4996768.4975,0.30198443254845764,2.398938487840794
